Site;Name;Number_name;MAP;MAT;AI;Soil_Temp;Water_activity;Water_content;SOM;pH;TOC;TC;TN;C_N;NH4;PO43;SO42;Sand;Silt;Clay;Litter;L_TC;L_TN;BB;FB;alpha;beta;xyl;cbh;gla;fos;leu;phe;Respiration;altitude;landcover;s275.295;s350.400;SR;E2.E3;E3.E4;E4.E6;FI;BIX;Peak_A;Peak_C;Peak_M;Peak_T;Peak_B;HIX;LTC_LTN;xylcbh;alphabeta;Aridity
SP03;T-SP3-a;51-SP03-A;719.53;13.8481;0.56;24.8;0.773;1.49;0.0337;4.97;0.0161;0.0161;7.00E-04;22.6479;13.75;4.32;16.61;0.728;0.2135;0.0585;968.53;0.0048;0.4886;0.00103;0.1725;0.0041;0.0322;0.0046;0.0018;0.008;0.3002;0.0171;1.3522;0.04752481;259;Evergreen Needleleaf Forests;-0.01628027;-0.018493623;0.880318072;5.65640591;5.63940434;9.73906165;1.46302732;0.434821695;1.82357284;1.14011464;1.04362914;0.737029401;0.633399022;3.77592572;0.009823987;0.0064;0.0363;0.44
SP03;T-SP3-b;52-SP03-B;719.53;13.8481;0.56;26.075;0.85;2.66;0.0578;4.43;0.0275;0.0275;0.001;27.47;7.49;3.96;20.76;0.728;0.2135;0.0585;665.09;0.0063;0.4832;0.00018;0.2155;0.0107;0.0843;0.0112;0.0107;0.0172;0.0859;0.0153;1.2893;0.04424341;259;Evergreen Needleleaf Forests;-0.015238272;-0.016081871;0.947543489;5.09257184;4.78966654;6.89607313;1.50552944;0.487963699;2.14892542;1.21654414;1.13077441;1.42813456;1.30858851;2.8690792;0.013038079;0.0219;0.095;0.44
SP03;T-SP3-c;53-SP03-C;719.53;13.8481;0.56;24.75;0.872;2.66;0.0575;4.4;0.0317;0.0317;0.0011;28.8182;30.57;10.79;20.7;0.728;0.2135;0.0585;733.57;0.0066;0.5012;0.00146;0.2424;0.0106;0.0939;0.0073;0.0093;0.0423;0.4789;0.0145;0.1945;0.05081554;259;Evergreen Needleleaf Forests;-0.015095694;-0.018593791;0.811867485;5.28603414;5.40564206;8.88838393;1.52769541;0.474313686;1.90736679;1.15356667;1.07038971;0.995665665;0.896393874;3.34823966;0.013168396;0.0166;0.1045;0.44
SP03;T-SP3-d;54-SP03-D;719.53;13.8481;0.56;27.6;0.849;2.25;0.04;4.98;0.0218;0.0218;9.00E-04;23.978;94.7;3.86;24.12;0.728;0.2135;0.0585;856.92;0.0066;0.3776;0.000208;0.2099;0.0067;0.0705;0.0048;0.0046;0.0188;0.4003;0.0143;1.7081;0.05089577;259;Evergreen Needleleaf Forests;-0.015675268;-0.019503023;0.803735305;5.50697051;5.73306339;9.90914098;1.4785097;0.468183011;2.00135614;1.21295647;1.14124894;0.999302012;0.936131288;4.09958618;0.017478814;0.0094;0.0772;0.44
SP03;T-SP3-e;55-SP03-E;719.53;13.8481;0.56;26.475;0.817;1.84;0.0304;4.87;0.0141;0.0141;6.00E-04;24.3103;5.09;3.04;20.37;0.728;0.2135;0.0585;976.86;0.0082;0.4782;0.000757;0.2372;0.0111;0.0826;0.0035;0.0066;0.0367;0.4278;0.014;2.3026;0.05034049;259;Evergreen Needleleaf Forests;-0.016058648;-0.02164081;0.742053915;5.73967721;6.43143068;12.8613733;1.45647475;0.428402464;2.1276609;1.35305934;1.24559;0.756143463;0.749290192;5.19563543;0.017147637;0.0101;0.0937;0.44
SP04;T-SP4-a;76-SP04-A;401.6923;13.4795;0.25;23.175;0.897;7.37;0.0737;7.74;0.0314;0.0837;0.0021;40.2404;4.15;20.08;19.86;0.577;0.2755;0.1475;522.66;0.0045;0.4172;0.00101;0.8937;0.0047;0.0155;0.0138;0.0071;0.005;0.267;0.0817;4.7954;0.00717969;925;Open Shrublands;-0.017981308;-0.016933905;1.06185246;5.51985101;5.0328844;10.6229449;1.50567331;0.491866495;2.44433027;1.34764857;1.28364218;1.12999038;0.7790299;4.47240025;0.010786194;0.0209;0.0202;0.75
SP04;T-SP4-b;77-SP04-B;401.6923;13.4795;0.25;24.625;0.887;9.37;0.1332;7.4;0.0542;0.11;0.0034;32.2493;5.34;34.96;25.34;0.577;0.2755;0.1475;2102.36;0.0061;0.4838;0.00247;1.7986;0.0094;0.0152;0.0202;0.0016;0.0107;0.3927;0.0983;3.0898;0.00745158;925;Open Shrublands;-0.016108877;-0.017938754;0.902437652;5.22083462;5.27919515;15.67973628;1.46863479;0.453086678;2.623772365;1.478343025;1.39795481;0.834608678;0.564544098;6.877175448;0.012608516;0.0218;0.0246;0.75
SP04;T-SP4-c;78-SP04-C;401.6923;13.4795;0.25;24.15;0.919;8.41;0.0659;7.56;0.0275;0.0753;0.002;37.2525;5.33;23.37;19.32;0.577;0.2755;0.1475;582.48;0.0064;0.4466;0.000779;1.4064;0.0051;0.0187;0.0065;0.0026;0.0024;0.0718;0.0719;3.937;0.0079716;925;Open Shrublands;-0.016218683;-0.018748206;0.865079182;5.2801593;5.5044655;17.7977544;1.46319044;0.42335929;2.6186041;1.55219169;1.47259022;0.791440556;0.544683672;6.67491243;0.014330497;0.0091;0.0238;0.75
SP04;T-SP4-d;79-SP04-D;401.6923;13.4795;0.25;22.125;0.791;5.46;0.0685;7.57;0.0288;0.0789;0.0019;42.1658;4.46;16.59;19.34;0.577;0.2755;0.1475;347.68;0.0045;0.4756;0.00179;0.9659;0.0015;0.008;0.0032;0.0016;0.0018;0.0871;0.0618;3.14;0.00828424;925;Open Shrublands;-0.014962306;-0.016822517;0.889421379;4.77026725;4.79658258;11.8309887;1.46659976;0.449062259;3.09224134;1.67166293;1.57346723;0.859767553;0.594776221;7.54557602;0.009461733;0.0048;0.0095;0.75
SP04;T-SP4-e;80-SP04-E;401.6923;13.4795;0.25;21.525;0.844;6.96;0.1041;7.47;0.0463;0.0936;0.003;31.6216;5.6;24.12;30.19;0.577;0.2755;0.1475;1217.59;0.0081;0.474;0.00119;1.26615;0.012;0.0234;0.0112;2.00E-04;0.0086;0.11;0.071;2.8849;0.00527026;925;Open Shrublands;-0.015273212;-0.019250389;0.793397587;5.31306092;5.78284812;22.4672571;1.43907565;0.448058669;2.33991375;1.34186891;1.26211961;0.557236221;0.3396866;8.81581309;0.017088608;0.0114;0.0354;0.75
